CustomerKey,First Name,Last Name,Full Name,BirthDate,Gender,EmailAddress,Customer City
11000,Jon,Yang,Jon Yang,1971-10-06,Male,jon24@adventure-works.com,Rockhampton
11001,Eugene,Huang,Eugene Huang,1976-05-10,Male,eugene10@adventure-works.com,Seaford
11002,Ruben,Torres,Ruben Torres,1971-02-09,Male,ruben35@adventure-works.com,Hobart
11003,Christy,Zhu,Christy Zhu,1973-08-14,Female,christy12@adventure-works.com,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,1979-08-05,Female,elizabeth5@adventure-works.com,Wollongong
11005,Julio,Ruiz,Julio Ruiz,1976-08-01,Male,julio1@adventure-works.com,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,1976-12-02,Female,janet9@adventure-works.com,Matraville
11007,Marco,Mehta,Marco Mehta,1969-11-06,Male,marco14@adventure-works.com,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,1975-07-04,Female,rob4@adventure-works.com,Bendigo
11009,Shannon,Carlson,Shannon Carlson,1969-09-29,Male,shannon38@adventure-works.com,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,1969-08-05,Female,jacquelyn20@adventure-works.com,East Brisbane
11011,Curtis,Lu,Curtis Lu,1969-05-03,Male,curtis9@adventure-works.com,East Brisbane
11012,Lauren,Walker,Lauren Walker,1979-01-14,Female,lauren41@adventure-works.com,Bremerton
11013,Ian,Jenkins,Ian Jenkins,1979-08-03,Male,ian47@adventure-works.com,Lebanon
11014,Sydney,Bennett,Sydney Bennett,1973-11-06,Female,sydney23@adventure-works.com,Redmond
11015,Chloe,Young,Chloe Young,1984-08-26,Female,chloe23@adventure-works.com,Burbank
11016,Wyatt,Hill,Wyatt Hill,1984-10-25,Male,wyatt32@adventure-works.com,Imperial Beach
11017,Shannon,Wang,Shannon Wang,1949-12-24,Female,shannon1@adventure-works.com,Sunbury
11018,Clarence,Rai,Clarence Rai,1955-10-06,Male,clarence32@adventure-works.com,Bendigo
11019,Luke,Lal,Luke Lal,1983-09-04,Male,luke18@adventure-works.com,Langley
11020,Jordan,King,Jordan King,1984-03-19,Male,jordan73@adventure-works.com,Metchosin
11021,Destiny,Wilson,Destiny Wilson,1984-03-02,Female,destiny7@adventure-works.com,Beaverton
11022,Ethan,Zhang,Ethan Zhang,1984-04-10,Male,ethan20@adventure-works.com,Bellingham
11023,Seth,Edwards,Seth Edwards,1984-04-09,Male,seth46@adventure-works.com,Bellflower
11024,Russell,Xie,Russell Xie,1984-03-16,Male,russell7@adventure-works.com,Concord
11025,Alejandro,Beck,Alejandro Beck,1951-06-22,Male,alejandro45@adventure-works.com,Hawthorne
11026,Harold,Sai,Harold Sai,1951-10-01,Male,harold3@adventure-works.com,Goulburn
11027,Jessie,Zhao,Jessie Zhao,1952-06-05,Male,jessie16@adventure-works.com,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,1951-10-09,Female,jill13@adventure-works.com,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,1952-06-19,Male,jimmy9@adventure-works.com,Bendigo
11030,Bethany,Yuan,Bethany Yuan,1958-02-18,Female,bethany10@adventure-works.com,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,1953-02-18,Female,theresa13@adventure-works.com,Matraville
11032,Denise,Stone,Denise Stone,1952-12-08,Female,denise10@adventure-works.com,Melbourne
11033,Jaime,Nath,Jaime Nath,1958-09-19,Male,jaime41@adventure-works.com,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,1952-12-16,Female,ebony19@adventure-works.com,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,1953-08-23,Female,wendy12@adventure-works.com,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,1984-06-16,Female,jennifer93@adventure-works.com,National City
11037,Chloe,Garcia,Chloe Garcia,1983-05-27,Female,chloe27@adventure-works.com,Cliffside
11038,Diana,Hernandez,Diana Hernandez,1953-09-20,Female,diana2@adventure-works.com,Lavender Bay
11039,Marc,Martin,Marc Martin,1954-06-16,Male,marc3@adventure-works.com,Wollongong
11040,Jesse,Murphy,Jesse Murphy,1983-01-29,Male,jesse15@adventure-works.com,Tacoma
11041,Amanda,Carter,Amanda Carter,1983-04-15,Female,amanda53@adventure-works.com,Glendale
11042,Megan,Sanchez,Megan Sanchez,1982-12-11,Female,megan28@adventure-works.com,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,1981-08-23,Male,nathan11@adventure-works.com,Glendale
11044,Adam,Flores,Adam Flores,1954-11-21,Male,adam10@adventure-works.com,Hervey Bay
11045,Leonard,Nara,Leonard Nara,1955-11-16,Male,leonard18@adventure-works.com,Matraville
11046,Christine,Yuan,Christine Yuan,1955-09-19,Female,christine4@adventure-works.com,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,1955-08-27,Female,jaclyn12@adventure-works.com,Geelong
